"Time","latitude","lat_error","longitude","lon_error","depth_km","depth_error","mag_val","rms","event_id","earthquake_name","event_type","evaluationStatus","creationInfo_author","creation_time","quality_usedPhaseCount","picks_mean"
1678455630.0000,0.8038,0.3536,-77.9275,0.3536,-0.4100,0.3000,1.6770,0.0700,igepn2023euxj,VT,volcanic eruption,reviewed,eacosta@srvmonscpv,2023-03-10 08:40:30,13.0000,5.0000
1678455351.0000,0.7983,0.1414,-77.9212,0.1414,-0.7200,0.3000,1.8743,0.0500,igepn2023euxf,VT,volcanic eruption,reviewed,eacosta@srvmonscpv,2023-03-10 08:35:51,15.0000,6.0000
1678455263.0000,0.7860,0.4950,-77.9162,0.4950,-1.0000,0.6000,1.6994,0.1600,igepn2023euxe,VT,volcanic eruption,reviewed,eacosta@srvmonscpv,2023-03-10 08:34:23,16.0000,7.0000
1678455007.0000,0.8065,0.2121,-77.9292,0.2121,0.0400,0.4000,1.6229,0.0400,igepn2023euxa,VT,volcanic eruption,reviewed,eacosta@srvmonscpv,2023-03-10 08:30:07,9.0000,4.0000
1678452565.0000,0.8038,0.4243,-77.9315,0.4243,-2.0000,0.3000,2.3661,0.1400,igepn2023euvr,VT,volcanic eruption,reviewed,evillarreal@srvmonscpf,2023-03-10 07:49:25,20.0000,8.0000
1678452456.0000,0.7797,0.4243,-77.9447,0.4243,-2.4700,0.5000,2.1432,0.1300,igepn2023euvq,VT,volcanic eruption,reviewed,evillarreal@srvmonscpf,2023-03-10 07:47:36,18.0000,6.0000
1678452312.0000,0.7770,0.4950,-77.9372,0.4950,-0.7700,0.8000,1.7063,0.1600,igepn2023euvo,VT,volcanic eruption,reviewed,evillarreal@srvmonscpf,2023-03-10 07:45:12,13.0000,7.0000
1678449908.0000,0.7880,0.5657,-77.9312,0.5657,-1.2800,0.8000,1.8168,0.1500,igepn2023euug,VT,volcanic eruption,reviewed,evillarreal@srvmonscpf,2023-03-10 07:05:08,14.0000,7.0000
1678449536.0000,0.7948,0.4950,-77.9243,0.4950,-1.5500,0.4000,2.3986,0.2600,igepn2023euua,VT,volcanic eruption,reviewed,evillarreal@srvmonscpf,2023-03-10 06:58:56,28.0000,13.0000
1678449308.0000,0.8028,0.4243,-77.9243,0.4243,-1.8400,0.3000,2.6669,0.2000,igepn2023eutx,VT,volcanic eruption,reviewed,evillarreal@srvmonscpf,2023-03-10 06:55:08,37.0000,19.0000
1678447461.0000,0.7790,0.4950,-77.9333,0.4950,-1.0000,0.5000,2.1925,0.2400,igepn2023eusx,VT,volcanic eruption,reviewed,evillarreal@srvmonscpf,2023-03-10 06:24:21,26.0000,11.0000
