creation_time,magnitude_type,author,station_count,event_id,event_creation_time,mag_uncertainty,mag,modification_time,mag_diff
2022-09-27 00:01:51.205013,MLv,scmag@sc3prim,1,igepn2022sxmj,2022-09-27T00:01:22.225247,0.0,3.3249,2022-09-27T00:01:52.246626,1.9071
2022-09-27 00:01:51.207259,Mjma,scmag@sc3prim,1,igepn2022sxmj,2022-09-27T00:01:22.225247,0.0,3.2349,2022-09-27T00:01:52.246626,1.9971
2022-09-27 00:01:51.209262,ML,scmag@sc3prim,1,igepn2022sxmj,2022-09-27T00:01:22.225247,0.0,3.5658,2022-09-27T00:01:52.246626,1.6662
2022-09-27 00:01:55.261949,ML,scmag@sc3prim,1,igepn2022sxmj,2022-09-27T00:01:22.225247,0.0,4.2159,2022-09-27T00:01:55.314755,1.0161
2022-09-27 00:01:55.262060,MLv,scmag@sc3prim,1,igepn2022sxmj,2022-09-27T00:01:22.225247,0.0,3.9749,2022-09-27T00:01:55.314755,1.2571
2022-09-27 00:01:55.262128,Mjma,scmag@sc3prim,1,igepn2022sxmj,2022-09-27T00:01:22.225247,0.0,4.0884,2022-09-27T00:01:55.314755,1.1436
2022-09-27 00:01:55.307870,ML,scmag@sc3prim,1,igepn2022sxmj,2022-09-27T00:01:22.225247,0.0,4.1904,2022-09-27T00:01:55.375483,1.0416
2022-09-27 00:01:55.307965,MLv,scmag@sc3prim,1,igepn2022sxmj,2022-09-27T00:01:22.225247,0.0,3.9494,2022-09-27T00:01:55.375483,1.2826
2022-09-27 00:01:55.308027,Mjma,scmag@sc3prim,1,igepn2022sxmj,2022-09-27T00:01:22.225247,0.0,4.067,2022-09-27T00:01:55.375483,1.165
2022-09-27 00:01:55.307870,ML,scmag@sc3prim,2,igepn2022sxmj,2022-09-27T00:01:22.225247,0.4784,4.5286,2022-09-27T00:01:55.375483,0.7034
2022-09-27 00:01:55.307965,MLv,scmag@sc3prim,2,igepn2022sxmj,2022-09-27T00:01:22.225247,0.2908,4.155,2022-09-27T00:01:55.375483,1.077
2022-09-27 00:01:55.308027,Mjma,scmag@sc3prim,2,igepn2022sxmj,2022-09-27T00:01:22.225247,0.228,4.2281,2022-09-27T00:01:55.375483,1.0039
2022-09-27 00:02:05.310295,ML,scmag@sc3prim,2,igepn2022sxmj,2022-09-27T00:01:22.225247,0.4793,4.562,2022-09-27T00:02:05.354781,0.67
2022-09-27 00:02:05.310393,MLv,scmag@sc3prim,2,igepn2022sxmj,2022-09-27T00:01:22.225247,0.2918,4.1884,2022-09-27T00:02:05.354781,1.0436
2022-09-27 00:02:05.310448,Mjma,scmag@sc3prim,2,igepn2022sxmj,2022-09-27T00:01:22.225247,0.2251,4.2535,2022-09-27T00:02:05.354781,0.9785
2022-09-27 00:02:05.368414,ML,scmag@sc3prim,2,igepn2022sxmj,2022-09-27T00:01:22.225247,0.4784,4.5342,2022-09-27T00:02:05.425180,0.6978
2022-09-27 00:02:05.368508,MLv,scmag@sc3prim,2,igepn2022sxmj,2022-09-27T00:01:22.225247,0.2909,4.1606,2022-09-27T00:02:05.425180,1.0714
2022-09-27 00:02:05.368565,Mjma,scmag@sc3prim,2,igepn2022sxmj,2022-09-27T00:01:22.225247,0.2273,4.2325,2022-09-27T00:02:05.425180,0.9995
2022-09-27 00:02:19.583856,ML,scmag@sc3prim,2,igepn2022sxmj,2022-09-27T00:01:22.225247,0.473,5.4542,2022-09-27T00:02:19.643417,0.2222
2022-09-27 00:02:19.583941,MLv,scmag@sc3prim,2,igepn2022sxmj,2022-09-27T00:01:22.225247,0.2854,5.0807,2022-09-27T00:02:19.643417,0.1513
2022-09-27 00:02:19.584006,Mjma,scmag@sc3prim,2,igepn2022sxmj,2022-09-27T00:01:22.225247,0.1744,4.7307,2022-09-27T00:02:19.643417,0.5013
2022-09-27 00:02:19.584057,mb,scmag@sc3prim,3,igepn2022sxmj,2022-09-27T00:01:22.225247,0.2066,4.706,2022-09-27T00:02:19.643417,0.526
2022-09-27 00:02:19.583856,ML,scmag@sc3prim,2,igepn2022sxmj,2022-09-27T00:01:22.225247,0.473,5.4542,2022-09-27T00:02:19.643417,0.2222
2022-09-27 00:02:19.583941,MLv,scmag@sc3prim,3,igepn2022sxmj,2022-09-27T00:01:22.225247,0.212,5.1181,2022-09-27T00:02:19.643417,0.1139
2022-09-27 00:02:19.584006,Mjma,scmag@sc3prim,3,igepn2022sxmj,2022-09-27T00:01:22.225247,0.1233,4.7319,2022-09-27T00:02:19.643417,0.5001
2022-09-27 00:02:19.584057,mb,scmag@sc3prim,3,igepn2022sxmj,2022-09-27T00:01:22.225247,0.2066,4.706,2022-09-27T00:02:19.643417,0.526
2022-09-27 00:02:19.583856,ML,scmag@sc3prim,3,igepn2022sxmj,2022-09-27T00:01:22.225247,0.3348,5.4631,2022-09-27T00:02:19.643417,0.2311
2022-09-27 00:02:19.583941,MLv,scmag@sc3prim,3,igepn2022sxmj,2022-09-27T00:01:22.225247,0.212,5.1181,2022-09-27T00:02:19.643417,0.1139
2022-09-27 00:02:19.584006,Mjma,scmag@sc3prim,3,igepn2022sxmj,2022-09-27T00:01:22.225247,0.1233,4.7319,2022-09-27T00:02:19.643417,0.5001
2022-09-27 00:02:19.584057,mb,scmag@sc3prim,3,igepn2022sxmj,2022-09-27T00:01:22.225247,0.2066,4.706,2022-09-27T00:02:19.643417,0.526
2022-09-27 00:02:27.381207,ML,scmag@sc3prim,3,igepn2022sxmj,2022-09-27T00:01:22.225247,0.2821,6.0555,2022-09-27T00:02:27.488646,0.8235
2022-09-27 00:02:27.381296,MLv,scmag@sc3prim,3,igepn2022sxmj,2022-09-27T00:01:22.225247,0.1527,5.7106,2022-09-27T00:02:27.488646,0.4786
2022-09-27 00:02:27.381372,Mjma,scmag@sc3prim,3,igepn2022sxmj,2022-09-27T00:01:22.225247,0.1108,5.0922,2022-09-27T00:02:27.488646,0.1398
2022-09-27 00:02:27.381882,mB,scmag@sc3prim,6,igepn2022sxmj,2022-09-27T00:01:22.225247,0.3102,6.2396,2022-09-27T00:02:27.488646,1.0076
2022-09-27 00:02:27.382005,Mw(mB),scmag@sc3prim,6,igepn2022sxmj,2022-09-27T00:01:22.225247,0.4,5.9315,2022-09-27T00:02:27.488646,0.6995
2022-09-27 00:02:27.382094,mb,scmag@sc3prim,9,igepn2022sxmj,2022-09-27T00:01:22.225247,0.3435,5.2796,2022-09-27T00:02:27.488646,0.0476
2022-09-27 00:02:27.381207,ML,scmag@sc3prim,3,igepn2022sxmj,2022-09-27T00:01:22.225247,0.2821,6.0555,2022-09-27T00:02:27.488646,0.8235
2022-09-27 00:02:27.381296,MLv,scmag@sc3prim,3,igepn2022sxmj,2022-09-27T00:01:22.225247,0.1527,5.7106,2022-09-27T00:02:27.488646,0.4786
2022-09-27 00:02:27.381372,Mjma,scmag@sc3prim,3,igepn2022sxmj,2022-09-27T00:01:22.225247,0.1108,5.0922,2022-09-27T00:02:27.488646,0.1398
2022-09-27 00:02:27.381882,mB,scmag@sc3prim,7,igepn2022sxmj,2022-09-27T00:01:22.225247,0.3072,6.1671,2022-09-27T00:02:27.488646,0.9351
2022-09-27 00:02:27.382005,Mw(mB),scmag@sc3prim,7,igepn2022sxmj,2022-09-27T00:01:22.225247,0.4,5.8373,2022-09-27T00:02:27.488646,0.6053
