creation_time,station_id,mag,station_magnitude_type,author,event_id,modification_time,event_creation_time,amplitude_id,mag_diff
2022-09-27 00:01:51.204867,EC_MCRA_BLZ,3.3249,MLv,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:01:52.246626,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000151.197032.1356426,1.9836
2022-09-27 00:01:51.207188,EC_MCRA_BLZ,3.2349,Mjma,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:01:52.246626,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000151.200178.1356427,2.0736
2022-09-27 00:01:51.209193,EC_MCRA_BL,3.5658,ML,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:01:52.246626,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000151.202827.1356428,1.7427
2022-09-27 00:01:55.260680,EC_MCRA_BL,4.2159,ML,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:01:55.314755,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000151.202827.1356428,1.0926
2022-09-27 00:01:55.260957,EC_MCRA_BLZ,3.9749,MLv,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:01:55.314755,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000151.197032.1356426,1.3336
2022-09-27 00:01:55.261203,EC_MCRA_BLZ,4.0884,Mjma,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:01:55.314755,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000151.200178.1356427,1.2201
2022-09-27 00:01:55.306748,EC_MCRA_BL,4.1904,ML,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:01:55.375483,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000151.202827.1356428,1.1181
2022-09-27 00:01:55.307024,EC_MCRA_BLZ,3.9494,MLv,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:01:55.375483,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000151.197032.1356426,1.3591
2022-09-27 00:01:55.307194,EC_MCRA_BLZ,4.067,Mjma,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:01:55.375483,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000151.200178.1356427,1.2415
2022-09-27 00:01:55.306748,EC_MCRA_BL,4.1904,ML,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:01:55.375483,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000151.202827.1356428,1.1181
2022-09-27 00:01:55.307024,EC_MCRA_BLZ,3.9494,MLv,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:01:55.375483,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000151.197032.1356426,1.3591
2022-09-27 00:01:55.307194,EC_MCRA_BLZ,4.067,Mjma,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:01:55.375483,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000151.200178.1356427,1.2415
2022-09-27 00:02:00.204628,EC_LAMO_HHZ,4.3607,MLv,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:01:55.375483,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000200.184982.1356429,0.9478
2022-09-27 00:02:00.206967,EC_LAMO_HHZ,4.3893,Mjma,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:01:55.375483,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000200.188057.1356430,0.9192
2022-09-27 00:02:00.353956,EC_LAMO_HH,4.8669,ML,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:01:55.375483,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000200.343976.1356431,0.4416
2022-09-27 00:02:05.308295,EC_LAMO_HH,4.901,ML,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:02:05.354781,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000200.343976.1356431,0.4075
2022-09-27 00:02:05.308557,EC_LAMO_HHZ,4.3948,MLv,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:02:05.354781,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000200.184982.1356429,0.9137
2022-09-27 00:02:05.308751,EC_LAMO_HHZ,4.4126,Mjma,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:02:05.354781,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000200.188057.1356430,0.8959
2022-09-27 00:02:05.309136,EC_MCRA_BL,4.2231,ML,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:02:05.354781,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000151.202827.1356428,1.0854
2022-09-27 00:02:05.309425,EC_MCRA_BLZ,3.9821,MLv,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:02:05.354781,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000151.197032.1356426,1.3264
2022-09-27 00:02:05.309629,EC_MCRA_BLZ,4.0943,Mjma,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:02:05.354781,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000151.200178.1356427,1.2142
2022-09-27 00:02:05.366536,EC_LAMO_HH,4.8725,ML,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:02:05.425180,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000200.343976.1356431,0.436
2022-09-27 00:02:05.366789,EC_LAMO_HHZ,4.3663,MLv,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:02:05.425180,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000200.184982.1356429,0.9422
2022-09-27 00:02:05.366959,EC_LAMO_HHZ,4.3932,Mjma,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:02:05.425180,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000200.188057.1356430,0.9153
2022-09-27 00:02:05.367316,EC_MCRA_BL,4.196,ML,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:02:05.425180,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000151.202827.1356428,1.1125
2022-09-27 00:02:05.367556,EC_MCRA_BLZ,3.955,MLv,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:02:05.425180,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000151.197032.1356426,1.3535
2022-09-27 00:02:05.367749,EC_MCRA_BLZ,4.0717,Mjma,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:02:05.425180,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000151.200178.1356427,1.2368
2022-09-27 00:02:19.581395,EC_JSCH_HHZ,4.7679,mb,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:02:19.643417,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/20220927.000134.98-AIC-EC.JSCH..HHZ.mb,0.5406
2022-09-27 00:02:19.581696,EC_LAMO_HH,5.7887,ML,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:02:19.643417,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000200.343976.1356431,0.4802
2022-09-27 00:02:19.581906,EC_LAMO_HHZ,5.2825,MLv,scmag@sc3prim,igepn2022sxmj,2022-09-27T00:02:19.643417,2022-09-27T00:01:22.225247,smi:org.gfz-potsdam.de/geofon/Amplitude/20220927000200.184982.1356429,0.026
